Feature,Category,CoveragePct
initial_jobless_claims,Macro,0.0
fred_macro_combined_ICSA,Macro,0.0
fred_macro_combined_CCSA,Macro,0.0
continuing_claims,Macro,0.0
fred_macro_combined_EXHOSLUSM495S,Macro,0.1
existing_home_sales,Macro,0.1
HONA,Equity,0.25
FDXF,Equity,0.45
fred_macro_combined_GDPC1,Macro,0.81
real_gdp,Macro,0.81
fred_macro_combined_GDP,Macro,0.81
gdp_nominal,Macro,0.81
fred_macro_combined_PPIFES,Macro,1.87
core_ppi,Macro,1.87
Q,Equity,2.62
fred_macro_combined_CPIAUCSL,Macro,3.01
cpi,Macro,3.01
core_cpi_ex_food_energy,Macro,3.01
fred_macro_combined_CPILFESL,Macro,3.01
fred_macro_combined_UNRATE,Macro,3.03
fred_macro_combined_PPIACO,Macro,3.03
fred_macro_combined_HOUST,Macro,3.03
industrial_production_index,Macro,3.03
fred_macro_combined_RSAFS,Macro,3.03
fred_macro_combined_PCEPI,Macro,3.03
housing_starts,Macro,3.03
pce_price_index,Macro,3.03
unemployment_rate,Macro,3.03
m2_money_supply,Macro,3.03
new_home_sales,Macro,3.03
ism_manufacturing_pmi_proxy_new_orders,Macro,3.03
labor_force_participation_rate,Macro,3.03
fred_macro_combined_HSN1F,Macro,3.03
retail_sales,Macro,3.03
capacity_utilization,Macro,3.03
building_permits,Macro,3.03
fred_macro_combined_TCU,Macro,3.03
fred_macro_combined_PERMIT,Macro,3.03
core_pce_price_index,Macro,3.03
fred_macro_combined_PCEPILFE,Macro,3.03
fred_macro_combined_AMTMNO,Macro,3.03
fred_macro_combined_INDPRO,Macro,3.03
ppi_all_commodities,Macro,3.03
fred_macro_combined_M2SL,Macro,3.03
fred_macro_combined_CIVPART,Macro,3.03
fred_macro_combined_PAYEMS,Macro,3.04
nber_recession_indicator_usrec,Macro,3.04
fred_macro_combined_USREC,Macro,3.04
nonfarm_payrolls,Macro,3.04
SNDK,Equity,5.26
GEV,Equity,8.58
SOLV,Equity,8.59
VLTO,Equity,10.38
sp500_hourly_Close,Macro,10.95
fred_macro_combined_BAMLC0A0CM,Macro,11.26
corporate_bond_spread_ice_bofa_ig,Macro,11.26
fred_macro_combined_BAMLH0A0HYM2,Macro,11.28
high_yield_spread_ice_bofa,Macro,11.28
KVUE,Equity,11.95
GEHC,Equity,13.38
CEG,Equity,16.81
fred_macro_combined_WALCL,Macro,18.25
fed_total_assets_balance_sheet,Macro,18.25
csi_300_china_Close,Macro,18.61
HOOD,Equity,18.61
APP,Equity,19.71
COIN,Equity,19.72
EXE,Equity,20.37
ABNB,Equity,20.98
DASH,Equity,21.0
PLTR,Equity,21.73
CARR,Equity,23.76
OTIS,Equity,23.76
DDOG,Equity,25.63
CRWD,Equity,26.66
CTVA,Equity,26.84
UBER,Equity,26.99
DOW,Equity,27.53
FOX,Equity,27.61
FOXA,Equity,27.62
MRNA,Equity,28.57
VRT,Equity,29.83
communication_services_Close,Macro,30.35
fred_macro_combined_SOFR,Macro,30.92
sofr,Macro,30.92
VICI,Equity,32.09
AMCR,Equity,34.43
IR,Equity,34.51
SW,Equity,34.6
CVNA,Equity,34.66
INVH,Equity,35.56
HWM,Equity,36.49
VST,Equity,36.77
TTD,Equity,36.92
DELL,Equity,37.28
FTV,Equity,37.75
XYZ,Equity,40.07
HPE,Equity,40.42
real_estate_Close,Macro,40.52
LITE,Equity,41.33
PYPL,Equity,41.53
KHC,Equity,41.53
GDDY,Equity,42.52
cybersecurity_Close,Macro,43.93
KEYS,Equity,44.18
CFG,Equity,44.45
SYF,Equity,45.02
ANET,Equity,45.59
ARES,Equity,45.95
HLT,Equity,47.39
ALLE,Equity,47.65
VEEV,Equity,47.99
CDW,Equity,49.15
reverse_repo_rrp,Macro,49.16
fred_macro_combined_RRPONTSYD,Macro,49.16
NWS,Equity,49.24
NWSA,Equity,49.24
IQV,Equity,49.66
ZTS,Equity,50.66
NCLH,Equity,50.79
ABBV,Equity,50.97
WDAY,Equity,51.77
FANG,Equity,51.77
PANW,Equity,52.65
NOW,Equity,52.86
META,Equity,53.3
PSX,Equity,53.69
APTV,Equity,55.17
XYL,Equity,55.55
cloud_computing_Close,Macro,56.6
MPC,Equity,56.7
APO,Equity,57.6
HII,Equity,57.69
HCA,Equity,57.81
KMI,Equity,58.08
short_term_vix_vix9d_Close,Macro,58.44
CPAY,Equity,58.68
TRGP,Equity,58.77
GM,Equity,58.95
NXPI,Equity,60.05
KKR,Equity,60.29
TSLA,Equity,60.45
CBOE,Equity,60.6
LYB,Equity,61.1
GNRC,Equity,61.88
CHTR,Equity,62.18
FTNT,Equity,62.73
DG,Equity,62.78
VRSK,Equity,63.18
AVGO,Equity,63.83
clean_energy_Close,Macro,68.04
KDP,Equity,68.55
AWK,Equity,68.7
V,Equity,69.06
PM,Equity,69.09
ECHO,Equity,69.86
MSCI,Equity,70.32
ULTA,Equity,70.55
brent_crude_Close,Macro,70.65
euro_stoxx_50_Close,Macro,70.76
LULU,Equity,71.49
BX,Equity,71.85
TEL,Equity,71.94
PODD,Equity,72.26
IBKR,Equity,72.35
DAL,Equity,72.38
TMUS,Equity,72.53
SMCI,Equity,72.74
BR,Equity,72.81
vvix_Close,Macro,73.49
FSLR,Equity,74.06
LDOS,Equity,74.4
3_month_vix_vix3m_Close,Macro,75.31
retail_Close,Macro,75.61
aud_usd_Close,Macro,75.81
MA,Equity,75.9
trade_weighted_broad_dollar_index,Macro,76.38
fred_macro_combined_DTWEXBGS,Macro,76.38
TDG,Equity,76.65
UAL,Equity,77.04
homebuilders_Close,Macro,77.04
CMG,Equity,77.14
LYV,Equity,77.49
PSKY,Equity,77.67
ICE,Equity,77.85
insurance_Close,Macro,77.86
banks_Close,Macro,77.86
AMP,Equity,78.51
CF,Equity,78.87
EXPE,Equity,79.09
WBD,Equity,79.23
BLDR,Equity,79.33
DXCM,Equity,80.11
LVS,Equity,81.34
MPWR,Equity,81.6
DLR,Equity,81.82
GOOGL,Equity,82.57
GOOG,Equity,82.57
EXR,Equity,82.62
DPZ,Equity,82.98
CRM,Equity,83.17
CBRE,Equity,83.29
AIZ,Equity,84.6
eur_usd_Close,Macro,84.82
nzd_usd_Close,Macro,84.93
transportation_Close,Macro,84.94
gbp_usd_Close,Macro,85.02
NRG,Equity,85.26
lumber_futures_Close,Macro,85.74
usd_chf_Close,Macro,85.8
usd_cad_Close,Macro,85.83
move_index_Close,Macro,87.64
msci_emerging_markets_etf_proxy_eem_Close,Macro,87.67
STX,Equity,88.93
CME,Equity,88.98
WYNN,Equity,89.41
platinum_futures_Close,Macro,89.47
NDAQ,Equity,90.61
NFLX,Equity,91.03
PRU,Equity,92.68
CNC,Equity,92.68
shanghai_composite_china_Close,Macro,93.01
shenzhen_component_china_Close,Macro,93.03
palladium_futures_Close,Macro,93.06
ELV,Equity,93.15
PFG,Equity,93.22
treasury_yields_combined_DGS1MO,Macro,93.33
1_month_treasury_yield,Macro,93.33
BG,Equity,94.02
nikkei_225_japan_Close,Macro,94.06
ZBH,Equity,94.11
ACN,Equity,94.17
software_Close,Macro,94.2
FIS,Equity,94.47
AXON,Equity,94.48
MDLZ,Equity,94.54
WTW,Equity,94.56
kospi_south_korea_Close,Macro,94.84
hang_seng_hong_kong_Close,Macro,95.38
biotechnology_Close,Macro,95.8
ALGN,Equity,95.94
bovespa_brazil_Close,Macro,95.98
vxn_Close,Macro,96.01
GPN,Equity,96.09
GRMN,Equity,96.45
TPR,Equity,97.11
ipc_mexico_Close,Macro,97.12
gold_Close,Macro,97.21
copper_futures_Close,Macro,97.23
silver_Close,Macro,97.23
soybean_futures_Close,Macro,97.24
natural_gas_Close,Macro,97.27
wti_crude_Close,Macro,97.35
corn_futures_Close,Macro,97.36
wheat_futures_Close,Macro,97.54
EQIX,Equity,97.69
asx_200_australia_Close,Macro,97.86
tsx_composite_canada_Close,Macro,97.92
MRVL,Equity,98.13
ftse_100_uk_Close,Macro,98.16
CRL,Equity,98.2
ISRG,Equity,98.28
dax_germany_Close,Macro,98.32
semiconductors_Close,Macro,98.41
ON,Equity,98.76
cac_40_france_Close,Macro,98.94
MET,Equity,99.03
sugar_futures_Close,Macro,99.09
EW,Equity,99.13
moody_s_aaa_corporate_spread,Macro,99.22
moody_s_baa_corporate_spread,Macro,99.22
fred_macro_combined_BAA10Y,Macro,99.22
fred_macro_combined_AAA10Y,Macro,99.22
treasury_yields_combined_DGS6MO,Macro,99.27
10y_minus_2y,Macro,99.27
1_year_treasury_yield,Macro,99.27
30_year_treasury_yield,Macro,99.27
treasury_yields_combined_DGS3,Macro,99.27
treasury_yields_combined_DGS1,Macro,99.27
treasury_yields_combined_DGS30,Macro,99.27
treasury_yields_combined_DGS20,Macro,99.27
treasury_yields_combined_DGS2,Macro,99.27
treasury_yields_combined_DGS10,Macro,99.27
treasury_yields_combined_DGS5,Macro,99.27
10y_minus_3m,Macro,99.27
us2y,Macro,99.27
us3m,Macro,99.27
treasury_yields_combined_DGS3MO,Macro,99.27
us10y,Macro,99.27
treasury_yields_combined_DGS7,Macro,99.27
3_year_treasury_yield,Macro,99.27
5_year_treasury_yield,Macro,99.27
20_year_treasury_yield,Macro,99.27
6_month_treasury_yield,Macro,99.27
treasury_yields_combined_10y_minus_3m,Macro,99.27
treasury_yields_combined_10y_minus_2y,Macro,99.27
7_year_treasury_yield,Macro,99.27
10y_2y_treasury_spread,Macro,99.28
fred_macro_combined_T10Y3M,Macro,99.28
10y_3m_treasury_spread,Macro,99.28
fred_macro_combined_T10Y2Y,Macro,99.28
usd_jpy_Close,Macro,99.55
ODFL,Equity,99.55
russell_3000_Close,Macro,99.57
coffee_futures_Close,Macro,99.64
cotton_futures_Close,Macro,99.67
PKG,Equity,99.73
wilshire_5000_Close,Macro,99.76
TTWO,Equity,99.76
DECK,Equity,99.82
MNST,Equity,99.91
ACGL,Equity,99.96
dxy_Close,Macro,99.97
FISV,Equity,99.99
fred_macro_combined_DFF,Macro,99.99
GILD,Equity,99.99
effective_fed_funds_rate,Macro,99.99
TPL,Equity,99.99
VTR,Equity,99.99
russell_1000_Close,Macro,99.99
BIIB,Equity,99.99
